age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native
55, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,4386,0,40, United-States
24, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Laos
43, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
26, Private, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States
46, Private, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,33, United-States
35, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
41, Self-emp-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States
26, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
34, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,35, Taiwan
36, Self-emp-not-inc, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States
22, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,15, United-States
24, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
77, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
22, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,0,0,40, Mexico
29, Private, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States
62, Private, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,24, United-States
39, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
43, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1485,50, United-States
35, Private, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,45, United-States
29, Private, 11th,7, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
76, Self-emp-not-inc, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States
63, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States
43, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1887,50, United-States
58, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
66, Private, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,2050,0,55, United-States
41, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States
26, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States
47, Private, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States
55, Local-gov, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
53, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
17, Private, 5th-6th,3, Never-married, Other-service, Other-relative, White, Male,0,0,48, Mexico
30, Private, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States
49, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States
19, Private, HS-grad,9, Never-married, Sales, Unmarried, Black, Male,0,0,30, Haiti
45, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States
26, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
38, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States
36, State-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,7298,0,40, United-States
33, Private, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,20, United-States
22, State-gov, Some-college,10, Never-married, Protective-serv, Own-child, Black, Female,0,0,40, United-States
43, Self-emp-not-inc, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,42, United-States
56, Private, Assoc-acdm,12, Married-spouse-absent, Other-service, Not-in-family, White, Male,0,0,25, Iran
31, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States
33, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
26, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
33, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
46, Local-gov, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States
38, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
65, Private, 11th,7, Widowed, Other-service, Unmarried, Other, Male,0,0,40, United-States
40, Private, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
42, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States
26, Self-emp-not-inc, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal
36, Private, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,0,0,24, United-States
62, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
43, Private, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States
43, Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,1564,45, United-States
22, Private, HS-grad,9, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,55, United-States
28, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
56, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States
22, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,15, United-States
57, Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States
39, Private, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States
26, Federal-gov, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,15, United-States
17, Private, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States
40, State-gov, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States
45, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
44, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States
20, Local-gov, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States
33, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States
23, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
46, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States
38, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
54, Private, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
46, Private, 5th-6th,3, Divorced, Craft-repair, Not-in-family, White, Female,0,2339,45, United-States
25, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
46, Private, Some-college,10, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States
36, Local-gov, Some-college,10, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,40, United-States
23, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States
29, Private, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
44, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,2415,6, United-States
19, Private, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States
19, Private, HS-grad,9, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States
35, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States
27, Private, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States
46, Self-emp-not-inc, Assoc-acdm,12, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
34, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States
44, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
45, Private, Some-college,10, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States
25, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
52, Self-emp-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
20, Private, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
28, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States
50, State-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
34, Private, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Female,0,0,64, United-States
28, Private, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,2179,40, Puerto-Rico
41, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,65, United-States
28, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
46, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, United-States
32, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
41, Local-gov, Some-college,10, Divorced, Other-service, Not-in-family, Black, Female,0,0,24, United-States
24, Private, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, United-States
33, Private, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
46, Private, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States
31, State-gov, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
35, Private, 12th,8, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, United-States
52, Private, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
30, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,19, United-States
34, Local-gov, 11th,7, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States
34, State-gov, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States
20, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States
17, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,2176,0,18, United-States
32, State-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States
29, Private, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States
33, Private, 10th,6, Never-married, Craft-repair, Unmarried, White, Female,0,0,35, United-States
25, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States
36, Federal-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,1408,40, United-States
23, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,72, Dominican-Republic
63, Self-emp-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
47, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
40, Self-emp-not-inc, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,2174,0,40, United-States
30, Private, Assoc-acdm,12, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States
27, Private, Some-college,10, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,1980,40, Philippines
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
34, Local-gov, HS-grad,9, Never-married, Farming-fishing, Not-in-family, Black, Male,594,0,60, United-States
34, Local-gov, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States
23, Private, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
42, Local-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States
29, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
45, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,28, United-States
24, Federal-gov, HS-grad,9, Never-married, Armed-Forces, Own-child, White, Male,0,0,40, United-States
44, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
27, Private, 9th,5, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Mexico
20, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States
44, Private, HS-grad,9, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States
51, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States
20, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
19, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States
45, Self-emp-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States
60, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
44, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States
40, Private, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
30, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States
38, Private, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States
